Ay,Ax,B,ux,uy,phi,t
7,-4,-1,-0.0404239725987347,0.266700305806085,0,0.000102599995443597
7,-4,0,-0.0404239725987347,0.266700305806085,0,0.00010150000161957
7,-4,1,-0.0404239725987347,0.266700305806085,0,9.98000032268465E-05
7,-4,2,-0.0404239725987347,0.266700305806085,0,0.000101200013887137
7,-4,3,-0.0404239725987347,0.266700305806085,0,0.000103099999250844
8,-4,-3,-0.0513579027045786,0.299677477795761,0,0.000101600002381019
8,-4,-2,-0.0513579027045786,0.299677477795761,0,0.000104899998405017
8,-4,-1,-0.0513579027045786,0.299677477795761,0,0.000101600002381019
8,-4,0,-0.0513579027045786,0.299677477795761,0,9.92000132100657E-05
8,-4,1,-0.0513579027045786,0.299677477795761,0,0.000102999998489395
8,-4,2,-0.0513579027045786,0.299677477795761,0,9.70999972196296E-05
8,-4,3,-0.0513579027045786,0.299677477795761,0,0.000174500004504807
9,-4,-3,-0.0630767607860293,0.330997721538374,0,0.00106179999420419
9,-4,-2,-0.0630767607860293,0.330997721538374,0,0.000102299993159249
9,-4,-1,-0.0630767607860293,0.330997721538374,0,0.000330800001393072
9,-4,0,-0.0630767607860293,0.330997721538374,0,0.000172700005350634
9,-4,1,-0.0630767607860293,0.330997721538374,0,0.000124099999084137
9,-4,2,-0.0630767607860293,0.330997721538374,0,0.000110799999674782
9,-4,3,-0.0630767607860293,0.330997721538374,0,0.000106200008303858
10,-4,-3,-0.0754157272865636,0.360639400500907,0,0.00010669999755919
10,-4,-2,-0.0754157272865636,0.360639400500907,0,0.00013399998715613
10,-4,-1,-0.0754157272865636,0.360639400500907,0,0.000146399994264357
10,-4,0,-0.0754157272865636,0.360639400500907,0,0.000218899993342347
10,-4,1,-0.0754157272865636,0.360639400500907,0,0.000156199996126816
10,-4,2,-0.0754157272865636,0.360639400500907,0,9.99999901978299E-05
10,-4,3,-0.0754157272865636,0.360639400500907,0,0.000154299996211194
12,-4,-3,-0.101364567514384,0.414947521957311,0,0.000110000008135103
12,-4,-2,-0.101364567514384,0.414947521957311,0,0.000105300001450814
12,-4,-1,-0.101364567514384,0.414947521957311,0,0.000616999997873791
12,-4,0,-0.101364567514384,0.414947521957311,0,0.000127599996631034
12,-4,1,-0.101364567514384,0.414947521957311,0,0.000116099996375851
12,-4,2,-0.101364567514384,0.414947521957311,0,0.000144299992825836
12,-4,3,-0.101364567514384,0.414947521957311,0,0.000114199996460229
14,-4,-3,-0.128186798585373,0.46293021301499,0,0.0001133000041591
14,-4,-2,-0.128186798585373,0.46293021301499,0,0.00011110000195913
14,-4,-1,-0.128186798585373,0.46293021301499,0,0.00011189999349881
